Security Code,Security Id,Security Name,Group,Face Value,Industry,INR
526335,SHREYASI,SHREYAS INTERMEDIATES LTD.,XT,10,Commodity Chemicals,7.21
530045,TITANSEC,TITAN SECURITIES LTD.,XT,10,Finance (including NBFCs),7.22
537838,NEGOTIUM,Negotium International Trade Ltd,XT,1,Comm.Trading  &amp; Distribution,7.24
505526,DOLAT,DOLAT INVESTMENTS LTD.,XT,1,Investment Companies,7.25
524588,EMEDTECH,Emed.com Technologies Ltd,XT,10,Comm.Trading  &amp; Distribution,7.26
530161,GARODCH,GARODIA CHEMICALS LTD.,P ,10,Comm.Trading  &amp; Distribution,7.26
538993,PUROHITCON,Purohit Construction Ltd,XT,10,Realty,7.27
531338,MILESTONE,MILESTONE GLOBAL LTD.,XT,10,Construction Materials,7.29
523862,PIFL,Pacheli Industrial Finance Ltd,XT,10,Finance (including NBFCs),7.3
539596,DELTA,Delta Industrial Resources Ltd,XT,10,Other Financial Services,7.37
531067,CONTILI,CONTIL INDIA LTD.,XT,10,Finance (including NBFCs),7.42
504180,STDBAT,STANDARD BATTERIES LTD.,XT,1,Finance (including NBFCs),7.43
514330,OBRSESY,OVERSEAS SYNTHETICS LTD.,XT,10,Textiles,7.45
531963,UNICRSE,UNIVERSAL CREDIT &amp; SECURITIES LTD.,XT,1,Misc.Commercial Services,7.45
511738,MEHSECU,MEHTA SECURITIES LTD.,XT,10,Other Financial Services,7.49
511740,MEHTAHG,MEHTA HOUSING FINANCE LTD.,XT,10,Housing Finance ,7.5
531626,OROSMITHS,OROSIL SMITHS INDIA LTD.-$,XT,1,Other Apparels &amp; Accessories,7.5
532823,EUROCERA,EURO CERAMICS LTD.,B ,10,Furniture-Furnishing-Paints,7.5
531360,GOLECHA,GOLECHHA GLOBAL FINANCE LTD.,XT,10,Misc.Commercial Services,7.51
538770,CRANEINFRA,Crane Infrastructure Ltd,XT,10,Realty,7.51
514140,SURYVANSP,SURYAVANSHI SPINNING MILLS LTD.-$,XT,10,Textiles,7.56
521167,FRONTBUSS,FRONTLINE BUSINESS SOLUTIONS LTD.,XT,5,Other Apparels &amp; Accessories,7.6
523790,SHUKJEW,SHUKRA JEWELLERS LTD.,P ,10,Other Apparels &amp; Accessories,7.6
531017,ARISE,ARIHANT'S SECURITIES LTD.,XT,10,Misc.Commercial Services,7.7
532765,USHERAGRO,USHER AGRO LTD.,T ,10,Other Agricultural Products,7.7
511377,MEHIF,MEHTA INTEGRATED FINANCE LTD.,XT,10,Finance (including NBFCs),7.71
532507,BAGFILMS,B.A.G.FILMS &amp; MEDIA LTD.,T ,2,Broadcasting &amp; Cable TV,7.71
530403,VALLABH,VALLABH POLY-PLAST INTERNATIONAL LTD.,XT,10,Containers &amp; Packaging,7.72
507515,CJGEL,C.J.GELATINE PRODUCTS LTD.,XT,10,Specialty Chemicals,7.75
539013,GITARENEW,Gita Renewable Energy Ltd,XT,10,Electric Utilities,7.86
538957,LICNFR3G,LIC MF RGESS Fund Series- 3 -Regular Plan- Growth Option,B ,10,,7.87
540026,LAHL,Ladam Affordable Housing Ltd,XT,5,Realty,7.87
524636,SSORGS,SS ORGANICS LTD.,P ,10,Pharmaceuticals,7.89
533204,MANDHANA,Mandhana Industries Ltd,B ,10,Textiles,7.89
516032,SARDAPPR,SARDA PAPERS LTD.,XT,10,Paper &amp; Paper Products,7.92
507878,UNITECH,UNITECH LTD.,A ,2,Realty,7.97
534659,JOINTECAED,JOINTECA EDUCATION SOLUTIONS LTD.,MT,10,IT Consulting &amp; Software,7.98
504220,WSIND,W.S.INDUSTRIES (INDIA) LTD.-$,B ,10,Industrial Machinery,8
517230,PAEL,PAE LTD.,T ,10,Comm.Trading  &amp; Distribution,8
533275,GAL,GYSCOAL ALLOYS LTD.,T ,1,Iron &amp; Steel/Interm.Products,8
522285,JAYNECOIND,JAYASWAL NECO INDUSTRIES LTD.,T ,10,Iron &amp; Steel/Interm.Products,8.02
534597,RTNINFRA,RattanIndia Infrastructure Limited,T ,2,Electric Utilities,8.05
539938,ICLF,Intercontinental Leasing and Finance Company Ltd,XT,10,Other Financial Services,8.05
532290,BLBLIMITED,BLB LTD.,T ,1,Other Financial Services,8.1
532902,CCCL,CONSOLIDATED CONSTRUCTION CONSORTIUM LTD.,T ,2,Realty,8.18
537820,VFL,Viji Finance Ltd,T ,1,Finance (including NBFCs),8.2
524687,BASANTGL,BASANT AGRO TECH (INDIA) LTD.-$,XT,1,Fertilizers,8.22
531119,CEENIK,CEENIK EXPORTS (INDIA) LTD.,XT,10,Other Apparels &amp; Accessories,8.25
533211,PARABDRUGS,Parabolic Drugs Ltd,T ,10,Pharmaceuticals,8.25
519604,SURFI,SURYO FOODS &amp; INDUSTRIES LTD.,XT,10,Packaged Foods,8.27
512131,SIGNETIND,Signet Industries Limited,T ,1,Plastic Products,8.33
517399,VXLINSTR,VXL INSTRUMENTS LTD.,XT,10,Consumer Electronics,8.4
531259,ESHAMEDIA,Esha Media Research Limited,XT,10,Advertising &amp; Media,8.4
531769,PFLINFOTC,PFL INFOTECH LTD.,XT,10,IT Software Products,8.4
538733,STARLIT,Starlit Power Systems Ltd,M ,10,Other Non-Ferrous Metals,8.4
531519,ANKUSHFI,ANKUSH FINSTOCK LTD.,XT,10,Other Financial Services,8.46
500500,HINDMOTORS,HINDUSTAN MOTORS LTD.,B ,5,Cars &amp; Utility Vehicles,8.5
517288,GUJARATPOLY,Gujarat Poly Electronics Ltd,XT,10,Other Elect.Equip./ Prod.,8.53
512169,CAPRICORN,CAPRICORN SYSTEMS GLOBAL SOLUTIONS LTD.,XT,10,Misc.Commercial Services,8.55
540789,DNAMEDIA,Diligent Media Corporation Ltd,T ,1,,8.6
500255,LML,LML LTD.,B ,10,2/3 Wheelers,8.69
540361,DWEKAM,Dwekam Industries Ltd,XT,10,Comm.Trading  &amp; Distribution,8.69
526687,POLOHOT,POLO HOTELS LTD.,XT,10,Hotels,8.7
531723,STAMPEDE,Stampede Capital Limited,T ,1,Other Financial Services,8.71
533122,RTNPOWER,RattanIndia Power Limited,A ,10,Electric Utilities,8.8
500945,VALUEIND,VALUE INDUSTRIES LTD.,T ,10,Household Appliances,8.84
532105,MEGFI,MEGA FIN (INDIA) LTD.,P ,10,Misc.Commercial Services,8.87
533257,INDOSOLAR,INDOSOLAR LTD.,B ,10,Other Elect.Equip./ Prod.,8.91
526113,UNRYLMA,UNIROYAL MARINE EXPORTS LTD.,XT,10,Packaged Foods,8.99
521005,INDOVATION,INDOVATION TECHNOLOGIES LTD.,XT,10,Textiles,9.03
535466,SRL,SAMRUDDHI REALTY LTD.,M ,10,Realty,9.03
540251,AXISE1GPG,AXIS EMERGING OPPORTUNITIES FUND-SERIES 1(1400 DAYS) REGULAR PLAN-GROWTH,B ,10,,9.05
532647,PROVOGE,PROVOGUE (INDIA) LTD.,T ,1,Other Apparels &amp; Accessories,9.1
539032,FRASER,Fraser and Company Ltd,XT,10,Comm.Trading  &amp; Distribution,9.1
532348,SUBEX,SUBEX LTD.,B ,10,IT Software Products,9.12
521141,ADITYASP,ADITYA SPINNERS LTD.,XT,10,Textiles,9.16
524624,GAGAN,GAGAN GASES LTD.,XT,10,Integrated Oil &amp; Gas,9.17
526614,EXPOGAS,EXPO GAS CONTAINERS LTD.,XT,4,Other Industrial Products,9.2
540594,HEOF1126RD,HDFC EOF - II - 1126D May 2017(1)  plan under HDFC Equity Opportunities Fund - Series 2 - Regular,B ,10,,9.23
532997,KSK,KSK ENERGY VENTURES LTD.,T ,10,Electric Utilities,9.28
532894,INDOWIND,INDOWIND ENERGY LTD.,T ,10,Electric Utilities,9.3
539408,KUBERJI,Kuber Udyog Ltd,XT,10,Finance (including NBFCs),9.31
509627,HINDDORROL,HINDUSTAN DORR-OLIVER LTD.,T ,2,Construction &amp; Engineering,9.35
522105,BIRLAPREC,BIRLA PRECISION TECHNOLOGIES LTD.,XT,2,Industrial Machinery,9.35
526471,WINSOMBR,WINSOME BREWERIES LTD.,XT,10,Breweries &amp; Distilleries,9.35
533263,GREENPOWER,ORIENT GREEN POWER COMPANY LTD.,B ,10,Electric Utilities,9.36
538646,PARNAMI,Parnami Credits Ltd,XT,10,Other Financial Services,9.4
511756,ABIRAFN,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,Z ,10,Finance (including NBFCs),9.45
526508,SHAHISHIP,Shahi Shipping Ltd-$,XT,10,Shipping,9.47
531816,PANORAMUNI,PANORAMIC UNIVERSAL LTD.,B ,5,IT Software Products,9.48
540593,HEOF1126RG,HDFC EOF- II - 1126D May 2017(1) plan under HDFC Equity Opportunities Fund - Series2 - Regular,B ,10,,9.51
524652,INDSWFTLTD,IND-SWIFT LTD.,T ,2,Pharmaceuticals,9.54
533103,JINDCOT,JINDAL COTEX LTD.,Z ,10,Textiles,9.55
532391,OPTOCIRCUI,OPTO CIRCUITS (INDIA) LTD.,T ,10,Medical Equipment,9.65
538521,CROWNTOURS,Crown Tours Ltd,XT,10,Travel Support Services,9.65
500028,ATVPR,ATV PROJECTS INDIA LTD.,XT,10,Construction &amp; Engineering,9.7
532850,MIC,MIC ELECTRONICS LTD.,T ,2,Electronic Components,9.7
540698,NEL,Nouritrans Exim Ltd,M ,10,Comm.Trading  &amp; Distribution,9.7
540794,HHOF1140RD,HDFC HOF-I-1140D November 2017(1) - Regular  Option - Dividend Payout Option,B ,10,,9.75
517236,CALCOM,CALCOM VISION LTD.,XT,10,Consumer Electronics,9.83
540799,DACEFRG,DSP BLACKROCK A.C.E. Fund Series 1 - Regular Growth,B ,10,,9.85
521068,HISARSP,HISAR SPINNING MILLS LTD.,P ,10,Textiles,9.87
506184,KANANIIND,KANANI INDUSTRIES LTD.,B ,1,Other Apparels &amp; Accessories,9.9
538731,POWERGYM,Powerhouse Gym &amp; Wellness Ltd,M ,10,Other Leisure Facilities,9.92
540636,HEOF1100RG,HDFC EQUITY OPPORTUNITIES FUND-II-1100D JUNE 2017(1) SERIES 2-REGULAR OPTION-GROWTH OPTION,B ,10,,9.95
514028,RAJKSYN,RAJKAMAL SYNTHETICS LTD.,XT,10,Textiles,9.99
530881,CENPORT,CENTURY TWENTYFIRST PORTFOLIO LTD.,XT,10,Other Financial Services,10
